user_id,community_label
692330,1
985996,4
985883,0
810310,1
1114771,0
797630,4
110526,1
1712047,4
866977,1
88635,2
1272463,3
349772,1
1419983,4
1631279,3
227069,1
875785,1
182313,2
1683118,4
859442,1
411279,0
1304932,3
338506,1
1546684,4
249141,2
84237,2
578594,4
1287022,0
1658068,3
1762549,3
378537,1
585930,1
26654,2
1017513,0
595926,0
4.0,1
284099,2
471794,1
73016,2
544807,1
1335489,0
1903371,3
1897260,3
345181,2
709011,1
1444475,3
1189546,0
1056828,0
521224,3
161168,1
621968,0
744531,1
368302,2
231617,2
135210,2
176881,1
1833128,3
1200594,0
1980020,3
1312764,3
136806,2
649739,4
462509,1
509869,1
164051,2
656492,1
1204504,0
1057989,0
1019650,0
1272898,0
1603986,4
743016,1
1400711,0
265606,2
1020727,4
100.0,1
749001,0
281231,2
1633628,4
1857446,3
1692586,4
944394,0
1170811,0
846280,1
423725,1
1292481,0
614459,1
1355357,0
509531,1
345640,4
1061705,0
1416715,0
1207199,0
1425978,0
404457,1
822669,4
1526517,4
1045236,0
492634,4
705235,1
1333855,4
1472783,4
915771,1
1830068,3
367801,1
509421,4
1075895,0
1001734,0
1985403,3
163894,2
545968,0
391499,1
1345275,0
1402241,0
1642782,0
1245928,0
475748,1
177466,2
1626714,4
1616820,4
455691,1
331207,2
111636,2
1526873,0
1334320,0
1120410,0
721897,1
233268,2
1191339,0
762747,1
393726,1
428785,1
916915,4
325790,1
1431613,4
553454,1
646567,4
2010-05-09 00:00:00,1
447505,1
1623833,4
1278029,0
527488,0
556271,1
1325949,0
200176,2
1553684,4
102299,2
262932,2
1393772,3
828219,0
1711879,3
1112061,0
17188,2
261151,2
428122,1
1427530,0
1422175,0
1376445,0
121320,2
570104,1
1260269,0
1749927,3
1486481,3
234022,2
1800417,3
277117,2
465118,1
732522,4
512409,1
1449197,4
1732542,3
262710,1
946499,4
484395,4
334337,2
291656,2
1171395,0
478723,1
321238,2
1800721,4
1696822,4
470044,1
1068770,0
1640667,4
604293,1
247715,1
137396,0
700138,1
1276666,0
1897176,3
1886756,3
235250,2
1331308,0
1676469,4
936694,4
1512794,0
394652,1
177491,2
1809765,3
245007,1
787113,3
1067947,4
1733029,4
1094641,0
1542674,4
1914243,3
170061,2
1447416,0
1096064,0
729227,0
1035132,1
1686531,4
386256,1
267731,2
538149,0
1936720,3
265229,2
1552000,3
1638109,0
807404,1
275562,1
342682,2
687383,1
1879703,3
1813278,4
651693,1
410114,1
1907186,3
1317676,0
1888286,3
569555,1
1363500,0
1119441,4
344752,2
633332,1
1365021,4
754486,0
391640,1
1822084,3
686164,1
703548,1
1281875,0
2077649,3
1027505,0
572292,1
591897,1
474661,1
204978,2
1690165,3
918048,0
2103948,3
33524,2
153111,2
1517805,0
116070,2
16953,2
1267057,0
232916,2
1772029,4
1165941,0
457374,1
258267,2
659104,0
238764,2
1299217,4
1216832,0
1657668,4
611308,1
1207063,0
1685132,4
1176353,4
548361,1
735937,1
766057,1
1704425,3
1913365,3
1222972,0
132053,0
1680084,4
1510388,3
356899,1
1501920,4
15.0,1
357236,1
410226,1
986252,1
403848,1
1408074,0
933413,4
147519,2
722453,0
517182,1
537708,0
892548,4
1205843,0
1484427,4
1521187,4
567377,1
611813,0
954394,0
1329659,0
134244,2
793469,1
698109,1
411374,1
250813,2
331296,4
593107,1
1311362,0
1123954,4
512708,1
2007547,3
1733265,4
1043203,0
1376618,0
151820,2
1114975,4
1359716,4
231466,2
380438,1
226890,2
1343775,0
1317360,4
1266926,4
810839,0
1356816,3
1219551,0
1904540,3
1170265,4
511587,1
900549,1
1329021,0
1638674,4
1242757,0
961104,0
1644833,4
1577594,4
465243,1
1132434,0
656868,1
1189619,3
1272541,0
135099,2
1285186,0
759788,1
290740,2
508657,4
1305487,0
1936380,3
1347399,0
329991,1
1720838,4
266250,2
1802181,3
1651414,4
341637,1
1317624,1
269274,2
695537,1
878858,1
370813,2
1409911,4
1493320,0
1037105,1
1207804,0
1032189,0
368044,1
1695887,4
1657125,3
351938,2
267912,1
889436,1
1149796,0
44476,2
407080,1
882534,1
147642,2
365727,1
1089785,1
643580,1
271119,4
1937046,3
1455148,0
1675139,4
273320,2
238895,1
1139809,0
292802,2
1857787,3
335714,1
1798390,0
1307377,0
1737932,3
356472,2
1413792,0
1085315,1
1453796,3
167748,2
1634168,3
1792878,4
238930,2
989907,1
154124,2
244771,2
1884613,3
1395870,0
331493,1
825163,1
1643137,0
324347,2
1781421,4
289566,1
1642174,3
500782,0
650896,1
204969,2
337471,2
1133295,4
356573,1
192047,2
716729,3
321866,2
1170683,1
28409,2
1529965,0
393281,1
934890,0
897573,0
180212,2
1290952,0
1690089,4
176609,1
386885,1
365596,0
1853599,3
1693406,4
669518,1
1774404,4
372343,2
492227,1
274257,2
1802288,4
953582,1
1873710,4
355366,4
343946,1
789255,1
1594345,4
694003,0
1464952,0
728590,1
79009,1
1429801,0
1208790,4
1431389,0
373780,2
290643,2
368550,1
653752,1
1165241,3
971904,1
996718,1
692363,1
882385,1
90023,2
1038874,1
1514446,3
783846,0
663942,1
1090542,4
1745490,3
292499,4
1772245,4
192364,2
1574278,4
610088,1
